2025-01-17T17:37:24.637Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:37:37.525Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:37:44.175Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:35.867Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:36.926Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:42.278Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:48.912Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:55.358Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:57.929Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:38:59.304Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:39:13.046Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:39:25.626Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:39:31.228Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:39:38.474Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:39:56.659Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:02.486Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:08.009Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:14.774Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:25.831Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:41.989Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:40:43.340Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:19:08.944Z [INFO]: Registering inventory routes
2025-01-20T09:19:58.233Z [INFO]: Registering inventory routes
2025-01-20T09:20:00.671Z [INFO]: Registering inventory routes
2025-01-20T09:20:10.209Z [INFO]: Registering inventory routes
2025-01-20T09:21:03.909Z [INFO]: Registering inventory routes
2025-01-20T09:21:31.777Z [INFO]: Registering inventory routes
2025-01-20T09:21:47.687Z [INFO]: Registering inventory routes
2025-01-20T09:30:07.389Z [INFO]: Registering inventory routes
2025-01-20T09:30:39.657Z [INFO]: Registering inventory routes
2025-01-20T09:30:53.429Z [INFO]: Registering inventory routes
2025-01-20T09:30:54.910Z [INFO]: Registering inventory routes
2025-01-20T09:30:58.771Z [INFO]: Registering inventory routes
2025-01-20T09:31:02.986Z [INFO]: Registering inventory routes
2025-01-20T09:32:38.334Z [INFO]: Registering inventory routes
2025-01-20T09:34:58.158Z [INFO]: Registering inventory routes
2025-01-20T09:34:58.168Z [INFO]: Server draait op poort 27017
2025-01-20T09:34:58.171Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:36:25.444Z [INFO]: Registering inventory routes
2025-01-20T09:36:25.452Z [INFO]: Server draait op poort 27017
2025-01-20T09:36:25.456Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:36:31.612Z [INFO]: Registering inventory routes
2025-01-20T09:36:31.621Z [INFO]: Server draait op poort 27017
2025-01-20T09:36:31.625Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:36:37.122Z [INFO]: Registering inventory routes
2025-01-20T09:36:37.131Z [INFO]: Server draait op poort 27017
